fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
FORWARD_POS100;20/08/2026 21:20:00;20/08/2026 21:25:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;73664.01;73799.18;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 21:25:00;20/08/2026 21:30:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;73799.18;73690.15;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 22:20:00;20/08/2026 22:25:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;74664.98;74511.84;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 22:25:00;20/08/2026 22:30:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;74511.84;74730.17;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 22:30:00;20/08/2026 22:35:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;74730.17;74746.341667;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 22:35:00;20/08/2026 22:40:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;74746.341667;74605.26;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 22:45:00;20/08/2026 22:50:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;74741.368333;75585.71;LOSS;1.82;5.0;-5.0
FORWARD_POS100;20/08/2026 22:50:00;20/08/2026 22:55:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;75585.71;75390.22;WIN;1.82;5.0;4.1
FORWARD_POS100;20/08/2026 22:55:00;20/08/2026 23:00:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;75390.22;75129.22;WIN;1.82;5.0;4.1
FORWARD_POS100;21/08/2026 04:20:00;21/08/2026 04:25:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;76719.924334;76700.13;WIN;1.82;5.0;4.1
FORWARD_POS100;21/08/2026 04:25:00;21/08/2026 04:30:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;76700.13;76671.86;WIN;1.82;5.0;4.1
FORWARD_POS100;21/08/2026 04:30:00;21/08/2026 04:35:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;76671.86;76384.61;WIN;1.82;5.0;4.1
FORWARD_POS100;21/08/2026 05:20:00;21/08/2026 05:25:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;77173.0;77037.28;WIN;1.82;5.0;4.1
FORWARD_POS100;21/08/2026 05:35:00;21/08/2026 05:40:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;77561.06;77496.67;WIN;1.82;5.0;4.1
FORWARD_POS100;21/08/2026 05:45:00;21/08/2026 05:50:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;77720.25;77823.027908;LOSS;1.82;5.0;-5.0
FORWARD_POS100;21/08/2026 05:50:00;21/08/2026 05:55:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;77823.027908;78661.68;LOSS;1.82;5.0;-5.0
FORWARD_POS100;21/08/2026 05:55:00;21/08/2026 06:00:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;78661.68;79240.39;LOSS;1.82;5.0;-5.0
FORWARD_POS100;21/08/2026 06:00:00;21/08/2026 06:05:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;79240.39;79452.07891;LOSS;1.82;5.0;-5.0
FORWARD_POS100;21/08/2026 06:05:00;21/08/2026 06:10:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;79452.07891;77838.28;WIN;1.82;5.0;4.1
FORWARD_POS100;21/08/2026 18:35:00;21/08/2026 18:40:00;BTCUSDT;BTC_CONTROLE_RSI14_ATR02;PUT;78401.6;78056.49;WIN;1.82;5.0;4.1
FORWARD_POS100;21/08/2026 18:50:00;21/08/2026 18:55:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1977;0.1976;WIN;1.8;5.0;4.0
FORWARD_POS100;21/08/2026 18:50:00;21/08/2026 18:55:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1977;0.1976;WIN;1.8;5.0;4.0
FORWARD_POS100;21/08/2026 18:55:00;21/08/2026 19:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1976;0.1979;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 19:00:00;21/08/2026 19:05:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1979;0.1982;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 19:05:00;21/08/2026 19:10:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1982;0.198;WIN;1.8;5.0;4.0
FORWARD_POS100;21/08/2026 19:10:00;21/08/2026 19:15:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.198;0.1983;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 19:15:00;21/08/2026 19:20:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1983;0.1985;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 19:20:00;21/08/2026 19:25:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1985;0.1974;WIN;1.8;5.0;4.0
FORWARD_POS100;21/08/2026 19:40:00;21/08/2026 19:45:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.2002;0.2008;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 19:45:00;21/08/2026 19:50:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.2008;0.2014;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 19:50:00;21/08/2026 19:55:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.2014;0.2031;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 19:50:00;21/08/2026 19:55:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.2014;0.2031;LOSS;1.8;5.0;-5.0
FORWARD_POS100;21/08/2026 19:55:00;21/08/2026 20:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.2031;0.2028;WIN;1.8;5.0;4.0
FORWARD_POS100;21/08/2026 19:55:00;21/08/2026 20:00:00;XLMUSDT;XLM_CHAL_RSI14_22_78;PUT;0.2031;0.2028;WIN;1.8;5.0;4.0
