fase;horario_sinal;horario_expiracao;ativo;estrategia;lado;entrada;saida;resultado;odd;stake_virtual;pnl_virtual
TREINO_REPLAY;18/08/2026 09:25:00;18/08/2026 09:30:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1529;0.1529;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;18/08/2026 09:30:00;18/08/2026 09:35:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1529;0.153;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 09:30:00;18/08/2026 09:35:00;XLMUSDT;XLM_CHAL_RSI21_ATR02;CALL;0.1529;0.153;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 09:50:00;18/08/2026 09:55:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1528;0.1526;LOSS;1.8;5.0;-5.0
TREINO_REPLAY;18/08/2026 09:55:00;18/08/2026 10:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1526;0.1526;EMPATE;1.8;5.0;0.0
TREINO_REPLAY;18/08/2026 10:00:00;18/08/2026 10:05:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;0.1526;0.1535;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 10:40:00;18/08/2026 10:45:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;CALL;-5.8461;0.1539;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 10:40:00;18/08/2026 10:45:00;XLMUSDT;XLM_CHAL_RSI14_22_78;CALL;-5.8461;0.1539;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 10:40:00;18/08/2026 10:45:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;CALL;-5.8461;0.1539;WIN;1.8;5.0;4.0
TREINO_REPLAY;18/08/2026 11:30:00;18/08/2026 11:35:00;DOGEUSDT;DOGE_CHAL_RSI7_TREND_ATR01;PUT;0.07035;0.07024;WIN;1.82;5.0;4.1
TREINO_REPLAY;19/08/2026 01:55:00;19/08/2026 02:00:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1562;0.1561;WIN;1.8;5.0;4.0
TREINO_REPLAY;19/08/2026 01:55:00;19/08/2026 02:00:00;XLMUSDT;XLM_CHAL_RSI14_25_75_BB20;PUT;0.1562;0.1561;WIN;1.8;5.0;4.0
TREINO_REPLAY;19/08/2026 02:05:00;19/08/2026 02:10:00;XLMUSDT;XLM_CHAMP_RSI14_25_75;PUT;0.1567;0.1563;WIN;1.8;5.0;4.0
